real,user,sys
1,1,
0.728,0.516,0.000
0.732,0.641,0.016
0.781,0.750,0.000
0.823,0.813,0.000
0.936,0.922,0.016
0.933,0.938,0.000
0.965,0.719,0.016
0.831,0.813,0.000
0.855,0.828,0.000
0.857,0.844,0.000
1,10,
0.517,0.484,0.000
0.508,0.453,0.000
0.511,0.469,0.000
0.511,0.484,0.000
0.525,0.500,0.016
0.534,0.516,0.000
0.514,0.453,0.016
0.529,0.516,0.016
0.546,0.516,0.000
0.524,0.516,0.016
1,100,
0.502,0.484,0.016
0.480,0.469,0.016
0.494,0.469,0.016
0.494,0.484,0.000
0.518,0.500,0.000
0.492,0.484,0.000
0.498,0.469,0.000
0.483,0.453,0.000
0.492,0.484,0.000
0.493,0.469,0.000
1,1000,
0.490,0.469,0.000
0.487,0.469,0.000
0.473,0.469,0.016
0.487,0.469,0.000
0.487,0.469,0.000
0.493,0.484,0.000
0.496,0.469,0.000
0.475,0.453,0.000
0.473,0.453,0.000
0.489,0.469,0.000
1,10000,
0.475,0.453,0.000
0.472,0.453,0.000
0.488,0.469,0.000
0.474,0.453,0.016
0.490,0.484,0.000
0.473,0.453,0.000
0.472,0.453,0.000
0.495,0.469,0.000
0.492,0.453,0.000
0.473,0.453,0.000
1,100000,
0.476,0.438,0.000
0.493,0.469,0.000
0.491,0.469,0.000
0.472,0.438,0.000
0.477,0.438,0.000
0.490,0.484,0.000
0.473,0.453,0.000
0.476,0.453,0.000
0.473,0.453,0.000
0.474,0.453,0.000
1,1000000,
0.497,0.469,0.000
0.473,0.453,0.000
0.489,0.453,0.000
0.475,0.438,0.016
0.493,0.453,0.000
0.473,0.453,0.000
0.489,0.469,0.000
0.473,0.438,0.000
0.494,0.484,0.000
0.467,0.438,0.000
1,10000000,
0.497,0.469,0.000
0.474,0.453,0.000
0.487,0.453,0.016
0.474,0.453,0.016
0.503,0.469,0.016
0.474,0.453,0.000
0.474,0.453,0.000
0.473,0.453,0.000
0.476,0.422,0.000
0.475,0.453,0.000
1,100000000,
0.399,0.375,0.016
0.483,0.328,0.000
0.482,0.422,0.016
0.504,0.391,0.000
0.504,0.469,0.016
0.474,0.453,0.000
0.473,0.438,0.000
0.474,0.453,0.000
0.476,0.422,0.000
0.474,0.422,0.000
2,1,
1.509,1.828,1.047
1.400,1.703,0.875
1.473,1.688,1.219
