real,user,sys,,,real_avg,user_avg,sys_avg
1,,,,1,2.7677,5.4157,15.2706
2.739,5.453,14.406,,10,0.9024,5.0687,1.372
2.706,5.266,14.641,,100,0.8534,6.1313,0.0298
2.9,5.781,16.563,,1000,0.8535,6.0456,0.019
2.661,5.156,14.094,,10000,0.8399,6.0109,0.0173
2.963,5.922,16.594,,100000,0.84,6.1547,0.0173
2.685,5.328,14.938,,1000000,0.8546,6.2156,0.0203
2.968,5.844,17.297,,,,,
2.569,4.813,13.594,,,,,
2.892,5.656,16.313,,,,,
2.594,4.938,14.266,,,,,
10,,,,,,,
0.992,5.594,1.844,,,,,
0.935,5.266,1.516,,,,,
0.902,5.516,1.141,,,,,
0.721,3.609,0.922,,,,,
0.936,5.359,1.344,,,,,
0.927,5.484,1.484,,,,,
0.967,5.531,1.469,,,,,
0.923,5.328,1.578,,,,,
0.976,5.359,1.422,,,,,
0.745,3.641,1,,,,,
100,,,,,,,
0.922,6.734,0,,,,,
0.909,6.703,0.031,,,,,
0.872,6.063,0.016,,,,,
0.885,6.469,0.031,,,,,
0.862,6.297,0.016,,,,,
0.758,5.328,0.063,,,,,
0.749,5.594,0.047,,,,,
0.819,5.766,0.031,,,,,
0.878,6.109,0.047,,,,,
0.88,6.25,0.016,,,,,
1000,,,,,,,
0.883,6.297,0.016,,,,,
0.89,6.531,0,,,,,
0.875,6.563,0.016,,,,,
0.769,5.641,0.016,,,,,
0.794,5.938,0.016,,,,,
0.794,5.141,0.063,,,,,
0.862,6.438,0.016,,,,,
0.893,5.563,0.016,,,,,
0.886,6.281,0,,,,,
0.889,6.063,0.031,,,,,
10000,,,,,,,
0.93,6.609,0.016,,,,,
0.76,5.5,0.016,,,,,
0.747,5.281,0.016,,,,,
0.818,5.75,0,,,,,
0.939,6.703,0.031,,,,,
0.895,6.219,0.016,,,,,
0.885,6.563,0.016,,,,,
0.877,6.547,0,,,,,
0.776,5.484,0.031,,,,,
0.772,5.453,0.031,,,,,
100000,,,,,,,
0.85,6.344,0,,,,,
0.86,6.359,0.016,,,,,
0.86,6.5,0,,,,,
0.834,5.766,0.016,,,,,
0.832,6.219,0.016,,,,,
0.789,5.641,0.016,,,,,
0.777,5.656,0.047,,,,,
0.84,6.125,0.031,,,,,
0.906,6.609,0,,,,,
0.852,6.328,0.031,,,,,
1000000,,,,,,,
0.898,6.359,0,,,,,
0.884,6.406,0,,,,,
0.821,6.313,0,,,,,
0.775,5.703,0.063,,,,,
0.762,5.406,0.031,,,,,
0.84,6.219,0.031,,,,,
0.937,6.922,0.031,,,,,
0.825,5.75,0.016,,,,,
0.914,6.422,0.031,,,,,
0.89,6.656,0,,,,,
10000000,,,,,,,
0.843,6.078,0.031,,,,,
0.771,5.797,0,,,,,
0.756,5.281,0.031,,,,,
0.852,5.969,0.016,,,,,
0.836,6.297,0,,,,,
0.866,6.203,0,,,,,
0.935,6.969,0.031,,,,,
0.87,6.078,0.016,,,,,
0.799,5.813,0.047,,,,,
0.776,5.906,0.031,,,,,
